region,dep_city,dep_date,dep_time,dep_time_slot,arr_city,arr_time,arr_time_slot,duration,nb_changes,train_name_1,train_name_2,standard_class_price,first_class_price
0,Paris,23-01-23,19:39,3,Nantes,21:54,4,8100,0,TGV Inoui,,50,54
0,Paris,23-01-23,21:21,4,Nantes,23:54,4,9180,0,TGV Inoui,,35,39
0,Paris,24-01-23,6:32,1,Nantes,8:54,1,8520,0,TGV Inoui,,35,134
0,Paris,24-01-23,6:48,1,Nantes,9:52,1,11040,1,Ouigo,SNCF,37,58.4
0,Paris,24-01-23,6:59,1,Nantes,9:52,1,10380,1,TGV Inoui,SNCF,53,90.4
0,Paris,24-01-23,7:18,1,Nantes,11:02,1,13440,0,Ouigo Classique,,10,0
0,Paris,24-01-23,7:44,1,Nantes,9:59,1,8100,0,Ouigo,,19,0
0,Paris,24-01-23,7:48,1,Nantes,9:54,1,7560,0,TGV Inoui,,46,54
0,Paris,24-01-23,8:43,1,Nantes,12:52,2,14940,1,TGV Inoui,SNCF,53,98.4
0,Paris,24-01-23,9:39,1,Nantes,11:54,1,8100,0,TGV Inoui,,35,50
0,Paris,24-01-23,9:58,1,Nantes,13:44,2,13560,2,TGV Inoui,SNCF,53,94.4
0,Paris,24-01-23,10:39,1,Nantes,12:54,2,8100,0,TGV Inoui,,38,89
0,Paris,24-01-23,10:56,1,Nantes,13:52,2,10560,1,TGV Inoui,SNCF,53,81
0,Paris,24-01-23,10:56,1,Nantes,13:52,2,10560,1,TGV Inoui,SNCF,61,0
0,Paris,24-01-23,12:23,2,Nantes,14:19,2,6960,0,TGV Inoui,,35,42
0,Paris,24-01-23,12:42,2,Nantes,17:01,3,15540,0,Ouigo Classique,,13,0
0,Paris,24-01-23,12:47,2,Nantes,17:17,3,16200,1,Ouigo,SNCF,47,68.4
0,Paris,24-01-23,12:52,2,Nantes,14:54,2,7320,0,TGV Inoui,,35,46
0,Paris,24-01-23,12:59,2,Nantes,17:17,3,15480,1,TGV Inoui,SNCF,53,98.4
0,Paris,24-01-23,13:35,2,Nantes,15:54,2,8340,0,TGV Inoui,,38,70
0,Paris,24-01-23,14:18,2,Nantes,17:46,3,12480,2,TGV Inoui,SNCF,72.3,90.4
